,0
0,68.84765625
1,69.580078125
2,69.2138671875
3,68.84765625
4,67.7490234375
5,68.115234375
6,69.580078125
7,69.580078125
8,71.044921875
9,71.044921875
10,69.580078125
11,67.3828125
12,66.650390625
13,66.650390625
14,65.91796875
15,68.115234375
16,69.580078125
17,70.3125
18,71.77734375
19,72.509765625
20,70.3125
21,69.580078125
22,68.84765625
23,67.3828125
24,66.650390625
25,68.115234375
26,68.84765625
27,66.650390625
28,66.650390625
29,68.115234375
30,68.84765625
31,68.84765625
32,68.84765625
33,68.84765625
34,70.3125
35,70.3125
36,70.3125
37,71.044921875
38,71.044921875
39,70.3125
40,68.84765625
41,69.580078125
42,68.84765625
43,70.6787109375
44,74.70703125
45,75.8056640625
46,73.2421875
47,71.77734375
48,71.044921875
49,69.580078125
50,68.115234375
51,69.580078125
52,69.580078125
53,71.77734375
54,73.2421875
55,73.2421875
56,71.044921875
57,69.580078125
58,68.115234375
59,67.3828125
60,68.115234375
61,68.84765625
62,70.3125
63,70.3125
64,70.3125
65,71.77734375
66,72.509765625
67,71.77734375
68,69.580078125
