,0
0,63.3544921875
1,65.185546875
2,56.7626953125
3,54.931640625
4,56.7626953125
5,62.255859375
6,61.8896484375
7,48.7060546875
8,62.98828125
9,56.396484375
10,58.2275390625
11,57.12890625
12,57.861328125
13,60.791015625
14,68.115234375
15,64.0869140625
16,62.6220703125
17,62.98828125
18,61.5234375
19,60.4248046875
20,67.3828125
21,59.6923828125
22,48.33984375
23,52.734375
24,54.19921875
25,69.9462890625
26,74.3408203125
27,74.70703125
28,73.6083984375
29,74.3408203125
30,92.28515625
31,90.8203125
32,83.49609375
33,62.98828125
34,57.861328125
35,62.6220703125
36,63.3544921875
37,61.8896484375
38,68.115234375
39,71.044921875
40,69.9462890625
41,63.3544921875
42,76.904296875
43,79.1015625
44,76.904296875
45,76.171875
46,74.70703125
47,73.974609375
48,73.2421875
49,72.509765625
50,69.9462890625
51,65.91796875
52,67.3828125
53,75.8056640625
54,79.833984375
55,83.49609375
56,81.298828125
57,72.509765625
58,73.2421875
59,76.904296875
60,86.0595703125
61,84.5947265625
62,84.9609375
63,66.650390625
64,65.91796875
65,61.8896484375
66,58.9599609375
67,58.59375
68,91.552734375
69,101.806640625
70,98.14453125
71,93.3837890625
72,71.77734375
73,66.650390625
74,65.5517578125
75,63.720703125
76,68.84765625
77,63.3544921875
78,61.8896484375
79,64.0869140625
80,57.4951171875
81,60.05859375
82,61.1572265625
83,68.115234375
84,57.861328125
85,65.185546875
86,60.05859375
87,49.8046875
88,50.1708984375
89,50.537109375
90,49.8046875
91,47.607421875
92,71.4111328125
93,101.806640625
94,92.28515625
95,83.49609375
96,79.833984375
97,76.904296875
98,66.650390625
99,55.2978515625
100,66.2841796875
101,62.98828125
102,61.5234375
103,59.326171875
104,61.8896484375
105,63.720703125
106,78.7353515625
107,64.0869140625
108,65.5517578125
109,75.0732421875
110,68.84765625
111,48.33984375
112,50.537109375
113,51.26953125
