,0
0,73.2421875
1,62.255859375
2,62.6220703125
3,77.2705078125
4,78.369140625
5,76.171875
6,60.05859375
7,60.791015625
8,61.1572265625
9,65.5517578125
10,77.63671875
11,79.833984375
12,78.7353515625
13,66.650390625
14,72.1435546875
15,81.298828125
16,83.49609375
17,69.2138671875
18,61.8896484375
19,64.8193359375
20,70.3125
21,68.115234375
22,59.6923828125
23,52.001953125
24,52.734375
25,61.8896484375
26,66.2841796875
27,63.720703125
28,66.650390625
29,82.763671875
30,85.3271484375
31,83.49609375
32,83.49609375
33,83.49609375
34,83.49609375
35,60.791015625
36,55.2978515625
37,60.4248046875
38,65.5517578125
39,63.3544921875
40,63.720703125
41,88.9892578125
42,91.1865234375
43,92.6513671875
44,73.974609375
45,66.2841796875
46,60.791015625
47,64.0869140625
48,68.115234375
49,71.4111328125
50,54.19921875
51,54.19921875
52,57.12890625
53,57.12890625
54,67.3828125
55,75.439453125
56,79.833984375
57,79.833984375
58,77.2705078125
59,64.8193359375
60,63.3544921875
61,58.59375
62,61.1572265625
63,60.4248046875
64,56.7626953125
65,52.001953125
66,61.8896484375
67,60.05859375
68,58.2275390625
69,53.8330078125
70,49.8046875
71,57.861328125
72,58.2275390625
73,56.0302734375
74,66.650390625
75,59.6923828125
76,57.12890625
77,57.861328125
78,62.255859375
79,60.05859375
80,54.19921875
81,54.5654296875
82,54.5654296875
83,55.6640625
84,58.2275390625
85,64.453125
86,72.8759765625
87,73.2421875
88,82.03125
89,76.904296875
90,68.4814453125
91,64.8193359375
92,63.3544921875
93,62.255859375
94,65.5517578125
95,62.6220703125
96,64.453125
97,79.4677734375
98,80.9326171875
99,81.298828125
100,80.9326171875
101,79.1015625
102,76.171875
103,69.2138671875
104,67.3828125
105,68.84765625
106,70.3125
107,66.650390625
108,61.5234375
109,64.8193359375
110,68.84765625
111,66.650390625
112,65.91796875
