,0
0,75.8056640625
1,73.974609375
2,73.2421875
3,73.2421875
4,74.3408203125
5,74.70703125
6,74.70703125
7,77.2705078125
8,80.56640625
9,77.63671875
10,72.509765625
11,69.2138671875
12,68.84765625
13,70.3125
14,71.044921875
15,71.77734375
16,71.77734375
17,69.2138671875
18,72.509765625
19,75.8056640625
20,77.2705078125
21,76.171875
22,74.70703125
23,72.509765625
24,70.3125
25,68.115234375
26,79.1015625
27,77.63671875
28,76.904296875
29,76.171875
30,75.8056640625
31,75.439453125
32,74.70703125
33,75.8056640625
34,76.171875
35,77.63671875
36,76.904296875
37,76.171875
38,73.974609375
39,73.974609375
40,73.974609375
41,73.2421875
42,73.2421875
43,73.974609375
44,76.171875
45,77.63671875
46,78.369140625
47,71.044921875
48,70.3125
49,71.77734375
50,72.509765625
51,75.439453125
52,79.1015625
53,79.1015625
54,77.2705078125
